Alloy_ID,PH_Al,PH_Sum(Al_2/Si),PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
129,0.44931,0.52446,0.01031,0,8,0.1
130,0.40953,0.56135,0.01104,0,8.5,0.1
131,0.3686,0.60114,0.01185,0,9,0.1
132,0.32799,0.63661,0.01254,0,9.5,0.1
133,0.28694,0.67802,0.01336,0,10,0.1
134,0.24519,0.72412,0.01428,0,10.5,0.1
135,0.20337,0.76254,0.01504,0,11,0.1
136,0.16115,0.79809,0.01575,0,11.5,0.1
137,0.11917,0.84881,0.01676,0,12,0.1
138,0.07513,0.88523,0.01748,0,12.5,0.1
139,0.03242,0.93531,0.01848,0,13,0.1
141,0.75169,0.22094,0.00425,0.00079,4,0.15
142,0.71597,0.26276,0.00507,0.00079,4.5,0.15
143,0.67941,0.29399,0.00569,0.00082,5,0.15
144,0.64269,0.33267,0.00645,0.00084,5.5,0.15
145,0.60501,0.37359,0.00726,0.00082,6,0.15
146,0.5667,0.39873,0.00775,0.00085,6.5,0.15
147,0.52841,0.44196,0.00861,0.00087,7,0.15
148,0.48903,0.47937,0.00936,0.0008,7.5,0.15
149,0.44973,0.5199,0.01015,0.00088,8,0.15
150,0.41002,0.55527,0.01085,0.00089,8.5,0.15
151,0.36912,0.59637,0.01168,0.00078,9,0.15
152,0.32854,0.63131,0.01236,0.00087,9.5,0.15
153,0.2881,0.68334,0.01339,0.00091,10,0.15
154,0.2458,0.72085,0.01413,0.00091,10.5,0.15
155,0.204,0.76072,0.01492,0.00089,11,0.15
156,0.16182,0.79272,0.01556,0.00091,11.5,0.15
157,0.11988,0.84365,0.01657,0.00092,12,0.15
158,0.07587,0.88055,0.0173,0.00089,12.5,0.15
159,0.03319,0.93066,0.01829,0.00092,13,0.15
161,0.75242,0.22249,0.00424,0.00115,4,0.2
162,0.71618,0.25636,0.0049,0.00115,4.5,0.2
163,0.68016,0.2947,0.00565,0.00119,5,0.2
164,0.64302,0.32484,0.00624,0.00121,5.5,0.2
165,0.60536,0.36563,0.00705,0.00118,6,0.2
166,0.56762,0.40468,0.00781,0.00123,6.5,0.2
167,0.52883,0.43164,0.00835,0.00124,7,0.2
168,0.48943,0.47052,0.00912,0.00119,7.5,0.2
169,0.4502,0.51315,0.00995,0.00126,8,0.2
170,0.41052,0.54718,0.01062,0.00127,8.5,0.2
171,0.36965,0.57935,0.01126,0.00127,9,0.2
172,0.32907,0.62317,0.01213,0.00126,9.5,0.2
173,0.28869,0.67587,0.01317,0.0013,10,0.2
174,0.24734,0.71232,0.01389,0.00131,10.5,0.2
175,0.20465,0.74956,0.01463,0.00128,11,0.2
176,0.1625,0.78548,0.01534,0.00131,11.5,0.2
177,0.11951,0.83508,0.01632,0.00132,12,0.2
178,0.07662,0.87394,0.01709,0.00128,12.5,0.2
179,0.03397,0.92328,0.01807,0.00133,13,0.2
