,weight,bias
UTS_Al_1,-0.41,0.05
UTS_Al_2+Si,0.31,0.02
UTS_AlSc2Si2,0.26,0.01
YS_Al_1,-0.03,0.00
YS_Al_2+Si,-0.09,-0.01
YS_AlSc2Si2,-0.14,-0.00
EL_Al_1,0.71,-0.09
EL_Al_2+Si,-0.66,-0.04
EL_AlSc2Si2,-0.63,-0.02
