,weight,bias
UTS_Al_1,-41.98,235.83
UTS_Al_2,36.96,201.03
UTS_Si,302.78,200.64
UTS_AlSc2Si2,1425.39,203.89
YS_Al_1,-3.79,123.29
YS_Al_2,-4.44,123.89
YS_Si,-30.92,123.61
YS_AlSc2Si2,-380.09,125.74
EL_Al_1,6.95,4.05
EL_Al_2,-7.28,10.37
EL_Si,-58.94,10.41
EL_AlSc2Si2,-308.81,10.10
