,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
123,0.9043097,0.047485463,0.00086531416,0.0615
124,0.9043029,0.047482975,0.00087306276,0.062
125,0.9042961,0.047480516,0.00088076666,0.0625
126,0.9042892,0.047478028,0.00088851526,0.063
127,0.9042823,0.04747557,0.00089626387,0.0635
128,0.9042756,0.047473095,0.00090398267,0.064
129,0.9042687,0.04747062,0.0009117313,0.0645
130,0.904262,0.047468133,0.000919465,0.065
131,0.9042551,0.04746566,0.0009271987,0.0655
132,0.9042482,0.0474632,0.0009349324,0.066
133,0.9042415,0.047460727,0.0009426661,0.0665
134,0.9042346,0.047458254,0.0009503998,0.067
135,0.9042278,0.04745575,0.0009581186,0.0675
136,0.904221,0.047453307,0.0009658523,0.068
137,0.9042142,0.047450833,0.000973586,0.0685
138,0.9042073,0.047448345,0.0009813197,0.069
139,0.9042005,0.047445856,0.0009890832,0.0695
140,0.9041936,0.047443382,0.0009967871,0.07
141,0.9041868,0.047440924,0.0010045208,0.0705
142,0.9041801,0.047438435,0.0010122694,0.071
143,0.9041733,0.04743599,0.0010199882,0.0715
144,0.9041664,0.047433488,0.0010277517,0.072
145,0.9041595,0.047431014,0.0010354556,0.0725
146,0.9041528,0.04742854,0.0010432042,0.073
147,0.9041459,0.047426067,0.0010509379,0.0735
148,0.9041391,0.047423624,0.0010586716,0.074
149,0.9041323,0.04742112,0.0010664053,0.0745
150,0.9041254,0.047418647,0.0010741539,0.075
151,0.9041186,0.047416173,0.0010818727,0.0755
152,0.9041118,0.0474137,0.0010895915,0.076
153,0.9041049,0.047411226,0.0010973401,0.0765
154,0.9040981,0.047408752,0.0011050738,0.077
155,0.9040913,0.04740628,0.0011128075,0.0775
156,0.9040845,0.04740379,0.0011205412,0.078
157,0.9040777,0.04740133,0.0011282898,0.0785
158,0.9040708,0.047398843,0.0011360385,0.079
159,0.904064,0.04739637,0.0011437573,0.0795
160,0.9040571,0.04739388,0.0011515059,0.08
161,0.9040503,0.047391422,0.0011592247,0.0805
162,0.9040435,0.047388963,0.0011669584,0.081
163,0.9040366,0.04738646,0.0011746921,0.0815
164,0.9040299,0.047384016,0.0011824407,0.082
165,0.904023,0.047381543,0.0011901595,0.0825
166,0.9040163,0.04737904,0.0011978783,0.083
167,0.9040093,0.047376566,0.001205612,0.0835
168,0.9040026,0.04737412,0.0012133457,0.084
169,0.9039957,0.04737165,0.0012210943,0.0845
