,weight,bias
UTS_Al_1,-639.97,323.99
UTS_Al_2,7.23,-1.16
UTS_Si,653.05,-31.03
UTS_AlSi2Sr,-1194.54,1.28
YS_Al_1,-524.63,265.77
YS_Al_2,5.84,-0.94
YS_Si,802.36,-38.12
YS_AlSi2Sr,-1374.21,1.48
EL_Al_1,670.28,-338.36
EL_Al_2,-4.13,0.66
EL_Si,-806.05,38.30
EL_AlSi2Sr,-143.91,0.15
