,weight,bias
UTS_Al,1.26,0.35
UTS_Si,4.64,2.08
UTS_AlSi2Sr,-1.76,0.00
YS_Al,0.93,0.04
YS_Si,4.05,1.52
YS_AlSi2Sr,-1.28,-0.22
EL_Al,-1.13,-0.14
EL_Si,-3.13,-1.10
EL_AlSi2Sr,1.57,0.17
