,weight,bias
UTS_Al,-0.33,0.10
UTS_Eut,0.63,0.16
UTS_AlSc2Si2,1.07,0.22
YS_Al,-0.30,0.09
YS_Eut,0.62,0.15
YS_AlSc2Si2,1.09,0.23
EL_Al,1.32,-0.39
EL_Eut,-1.20,-0.29
EL_AlSc2Si2,-0.35,-0.07
