,weight,bias
UTS_Al_1,-0.52,-0.09
UTS_Al_2+Si,0.48,-0.06
UTS_AlSc2Si2,0.46,-0.05
YS_Al_1,0.01,0.00
YS_Al_2+Si,-0.12,0.02
YS_AlSc2Si2,-0.18,0.02
EL_Al_1,0.50,0.08
EL_Al_2+Si,-0.50,0.06
EL_AlSc2Si2,-0.50,0.05
