,weight,bias
UTS_Al_1,-0.53,-0.09
UTS_Al_2,0.50,-0.08
UTS_Si,0.50,-0.08
UTS_AlSc2Si2,0.47,-0.08
YS_Al_1,0.03,0.01
YS_Al_2,-0.15,0.02
YS_Si,-0.14,0.02
YS_AlSc2Si2,-0.21,0.03
EL_Al_1,0.45,0.08
EL_Al_2,-0.43,0.07
EL_Si,-0.43,0.07
EL_AlSc2Si2,-0.41,0.07
