,weight,bias
UTS_Al_1,-9.62,221.09
UTS_Al_2,9.01,221.25
UTS_Si,9.05,221.23
UTS_AlSc2Si2,8.59,221.34
YS_Al_1,0.42,120.43
YS_Al_2,-1.92,120.68
YS_Si,-1.81,120.66
YS_AlSc2Si2,-2.69,120.80
EL_Al_1,0.65,7.52
EL_Al_2,-0.63,7.52
EL_Si,-0.63,7.52
EL_AlSc2Si2,-0.60,7.51
