,weight,bias
UTS_Al_1,-2.95,1.19
UTS_Al_2,2.84,-1.37
UTS_Si,23.12,-1.39
UTS_AlSc2Si2,116.04,-1.22
YS_Al_1,0.18,-0.07
YS_Al_2,-0.87,0.42
YS_Si,-6.62,0.40
YS_AlSc2Si2,-52.07,0.55
EL_Al_1,2.49,-1.01
EL_Al_2,-2.47,1.19
EL_Si,-20.04,1.20
EL_AlSc2Si2,-101.53,1.06
