,weight,bias
UTS_Al_1,-0.45,0.06
UTS_Al_2,0.35,0.02
UTS_Si,0.36,0.02
UTS_AlSc2Si2,0.31,0.01
YS_Al_1,-0.07,0.01
YS_Al_2,-0.05,-0.00
YS_Si,-0.04,-0.00
YS_AlSc2Si2,-0.11,-0.00
EL_Al_1,0.70,-0.09
EL_Al_2,-0.65,-0.04
EL_Si,-0.65,-0.04
EL_AlSc2Si2,-0.62,-0.02
