,PH_Al,PH_Eut,PH_AlSc2Si2,EL_Sc
126,0.5159627,0.46080932,0.001859419,0.126
127,0.516024,0.46094742,0.0018741786,0.127
128,0.51608527,0.46108553,0.0018889457,0.128
129,0.51614654,0.4612236,0.0019037053,0.129
130,0.5162078,0.46136168,0.0019184723,0.13
131,0.5162692,0.46149978,0.001933232,0.131
132,0.5163305,0.46163788,0.0019479841,0.132
133,0.5163917,0.46177602,0.0019627586,0.133
134,0.516453,0.4619141,0.0019775182,0.134
135,0.5165143,0.4620522,0.0019922778,0.135
136,0.5165756,0.4621903,0.0020070449,0.136
137,0.51663685,0.46232837,0.0020218045,0.137
138,0.5166981,0.46246645,0.002036564,0.138
139,0.5167594,0.46260452,0.0020513237,0.139
140,0.51682067,0.46274266,0.0020660907,0.14
141,0.516882,0.4628807,0.0020808503,0.141
142,0.5169433,0.4630188,0.00209561,0.142
143,0.5170045,0.46315694,0.0021103695,0.143
144,0.51706576,0.46329504,0.002125129,0.144
145,0.51712704,0.46343315,0.0021398962,0.145
146,0.5171884,0.46357122,0.0021546558,0.146
147,0.5172497,0.46370932,0.0021694154,0.147
148,0.517311,0.46384743,0.0021841824,0.148
149,0.51737225,0.46398553,0.0021989346,0.149
150,0.5174335,0.46412364,0.0022137016,0.15
151,0.5174948,0.4642617,0.0022284687,0.151
152,0.51755613,0.4643998,0.0022432283,0.152
153,0.5176174,0.46453792,0.0022579879,0.153
154,0.5176786,0.464676,0.002272755,0.154
155,0.5177399,0.4648141,0.0022875145,0.155
156,0.51780117,0.4649522,0.002302274,0.156
157,0.5178625,0.4650903,0.0023170412,0.157
158,0.5179238,0.46522838,0.0023318008,0.158
159,0.5179851,0.4653665,0.0023465604,0.159
160,0.5180464,0.4655046,0.00236132,0.16
161,0.51810765,0.46564266,0.0023760796,0.161
162,0.5181689,0.46578076,0.0023908392,0.162
163,0.51823026,0.46591887,0.0024056062,0.163
164,0.5182915,0.46605697,0.0024203658,0.164
165,0.5183528,0.4661951,0.002435118,0.165
166,0.518414,0.4663332,0.002449885,0.166
167,0.51847535,0.46647125,0.002464652,0.167
168,0.5185366,0.46660936,0.002479419,0.168
169,0.5185979,0.46674743,0.0024941713,0.169
170,0.51865923,0.4668855,0.0025089383,0.17
171,0.5187205,0.4670236,0.002523698,0.171
172,0.5187818,0.46716174,0.002538465,0.172
173,0.51884305,0.46729985,0.002553217,0.173
174,0.5189043,0.46743792,0.0025679767,0.174
175,0.5189656,0.46757603,0.0025827438,0.175
176,0.5190269,0.46771413,0.0025975034,0.176
177,0.51908815,0.46785223,0.002612263,0.177
178,0.5191495,0.46799034,0.00262703,0.178
179,0.51921076,0.46812844,0.0026417896,0.179
180,0.519272,0.46826655,0.0026565492,0.18
181,0.51933336,0.46840465,0.0026713163,0.181
182,0.5193946,0.4685427,0.0026860759,0.182
183,0.5194559,0.4686808,0.002700843,0.183
184,0.5195172,0.4688189,0.0027156025,0.184
185,0.51957846,0.468957,0.0027303621,0.185
186,0.51963973,0.46909514,0.0027451292,0.186
187,0.519701,0.46923324,0.0027598813,0.187
188,0.5197623,0.46937132,0.0027746484,0.188
189,0.51982355,0.46950936,0.002789408,0.189
190,0.5198849,0.46964747,0.0028041601,0.19
191,0.51994616,0.46978557,0.002818942,0.191
192,0.52000743,0.46992373,0.0028337017,0.192
193,0.52006876,0.47006172,0.0028484538,0.193
194,0.52013004,0.47019988,0.0028632134,0.194
195,0.5201913,0.470338,0.0028779805,0.195
196,0.5202526,0.47047606,0.0028927475,0.196
197,0.52031386,0.47061417,0.0029074997,0.197
198,0.52037513,0.47075227,0.0029222667,0.198
199,0.5204364,0.47089037,0.0029370263,0.199
200,0.5204977,0.47102848,0.002951786,0.2
201,0.520559,0.47116655,0.002966553,0.201
202,0.5206203,0.47130466,0.0029813126,0.202
203,0.5206815,0.47144276,0.0029960722,0.203
204,0.52074283,0.47158086,0.0030108392,0.204
205,0.52080405,0.47171897,0.0030255988,0.205
206,0.5208654,0.471857,0.0030403584,0.206
207,0.52092665,0.47199512,0.0030551255,0.207
208,0.5209879,0.47213322,0.003069885,0.208
209,0.52104926,0.47227135,0.0030846447,0.209
210,0.52111053,0.47240943,0.0030994117,0.21
211,0.5211718,0.47254747,0.0031141713,0.211
212,0.5212331,0.47268558,0.003128931,0.212
213,0.52129436,0.47282374,0.0031436905,0.213
214,0.5213556,0.47296184,0.0031584576,0.214
215,0.5214169,0.47309992,0.0031732172,0.215
216,0.52147824,0.47323802,0.0031879693,0.216
217,0.52153957,0.47337607,0.0032027438,0.217
218,0.5216008,0.4735142,0.0032175034,0.218
219,0.5216621,0.4736523,0.0032322556,0.219
220,0.52172333,0.4737904,0.0032470226,0.22
221,0.52178466,0.4739285,0.0032617897,0.221
222,0.52184594,0.47406656,0.0032765418,0.222
223,0.5219072,0.47420466,0.0032913089,0.223
224,0.5219685,0.47434276,0.003306076,0.224
225,0.52202976,0.47448087,0.003320828,0.225
226,0.5220911,0.47461897,0.0033355877,0.226
227,0.5221523,0.47475708,0.0033503547,0.227
228,0.5222137,0.47489518,0.0033651143,0.228
229,0.5222749,0.47503328,0.0033798814,0.229
230,0.52216136,0.47520706,0.0035296828,0.23
231,0.5222182,0.4751128,0.0035435706,0.231
232,0.5222751,0.4750185,0.0035574734,0.232
233,0.5223319,0.47492424,0.0035713613,0.233
234,0.5223887,0.47482997,0.0035852492,0.234
235,0.52244556,0.47473574,0.003599137,0.235
236,0.52250236,0.47464147,0.0036130324,0.236
237,0.52255917,0.47454724,0.0036269277,0.237
238,0.522616,0.4744529,0.0036408156,0.238
239,0.52267283,0.47435868,0.0036547035,0.239
240,0.5227297,0.47426438,0.0036686063,0.24
241,0.52278656,0.47417015,0.0036824942,0.241
242,0.52284336,0.47407585,0.0036963895,0.242
243,0.5229002,0.47398162,0.0037102848,0.243
244,0.522957,0.47388732,0.0037241653,0.244
245,0.52301383,0.4737931,0.0037380606,0.245
246,0.5230707,0.4736988,0.003751956,0.246
247,0.5231275,0.47360456,0.0037658513,0.247
248,0.5231843,0.47351032,0.0037797391,0.248
249,0.52324116,0.47341606,0.003793627,0.249
250,0.52329797,0.4733218,0.003807515,0.25
251,0.52335477,0.47322756,0.0038214177,0.251
252,0.52341163,0.47313327,0.003835313,0.252
253,0.52346843,0.47303903,0.003849201,0.253
254,0.5235253,0.47294474,0.0038630962,0.254
