,weight,bias
UTS_Al_1,-0.52,-0.09
UTS_Al_2+Si,0.49,-0.08
UTS_AlSc2Si2,0.46,-0.07
YS_Al_1,-0.05,-0.01
YS_Al_2+Si,-0.06,0.01
YS_AlSc2Si2,-0.12,0.02
EL_Al_1,0.57,0.10
EL_Al_2+Si,-0.58,0.09
EL_AlSc2Si2,-0.57,0.09
