,weight,bias
UTS_Al_1,-0.57,-0.09
UTS_Al_2+Si,0.55,-0.07
UTS_AlSc2Si2,0.54,-0.06
YS_Al_1,-0.11,-0.02
YS_Al_2+Si,0.01,-0.00
YS_AlSc2Si2,-0.04,0.00
EL_Al_1,0.55,0.09
EL_Al_2+Si,-0.55,0.07
EL_AlSc2Si2,-0.55,0.06
