,weight,bias
UTS_Al_1,-52.95,244.05
UTS_Al_2,50.98,198.05
UTS_Si,414.75,197.68
UTS_AlSc2Si2,2079.85,200.80
YS_Al_1,3.67,118.60
YS_Al_2,-12.48,126.10
YS_Si,-96.02,125.85
YS_AlSc2Si2,-725.05,127.68
EL_Al_1,3.44,6.13
EL_Al_2,-3.37,9.14
EL_Si,-27.38,9.17
EL_AlSc2Si2,-137.63,8.96
