Alloy,YS,UTS,EL,PH_Al,PH_Al(2),PH_Si,PH_AlSc2Si2,EL_Si,EL_Mg
355,125.49,214.89,8.69,0.68266,0.21862,0.02743,0.00451,5,0.5
A356,134.64,230.52,6.87,0.5395,0.35502,0.04448,0.00749,6.9,0.44
A357,141.79,235.51,5.94,0.53373,0.33872,0.04248,0.00703,7,0.6
A360,137.57,242.88,5.03,0.33347,0.52596,0.06585,0.01118,9.5,0.5
A380,99.93,201.52,7.33,0.40872,0.51499,6.39E-02,0.01155,8.5,0
A413,98.85,213.58,7.8,0.1167,0.76344,0.09474,0.01714,12,0
Plus1,151.56,252.85,2.32,0.04203,0.74358,0.09313,0.01575,13,0.7
Plus2,139.42,244.81,5.84,0.37428,0.48237,0.06041,0.01022,9,0.5
