,weight,bias
UTS_Al_1,-2.25,0.91
UTS_Al_2,1.98,-0.95
UTS_Si,16.23,-0.98
UTS_AlSc2Si2,76.41,-0.80
YS_Al_1,-0.29,0.12
YS_Al_2,-0.34,0.16
YS_Si,-2.35,0.14
YS_AlSc2Si2,-28.90,0.30
EL_Al_1,3.49,-1.41
EL_Al_2,-3.65,1.76
EL_Si,-29.57,1.78
EL_AlSc2Si2,-154.93,1.62
