,weight,bias
UTS_Al_1,-40.84,237.14
UTS_Al_2,36.46,203.04
UTS_Si,298.44,202.67
UTS_AlSc2Si2,1419.00,205.73
YS_Al_1,-3.38,123.02
YS_Al_2,-4.92,124.02
YS_Si,-34.83,123.74
YS_AlSc2Si2,-400.52,125.84
EL_Al_1,7.19,3.97
EL_Al_2,-7.48,10.48
EL_Si,-60.59,10.52
EL_AlSc2Si2,-317.04,10.20
