,weight,bias
UTS_Al_1,-0.50,0.06
UTS_Al_2,0.39,0.03
UTS_Si,0.40,0.03
UTS_AlSc2Si2,0.35,0.01
YS_Al_1,-0.06,0.01
YS_Al_2,-0.07,-0.00
YS_Si,-0.06,-0.00
YS_AlSc2Si2,-0.13,-0.01
EL_Al_1,0.76,-0.09
EL_Al_2,-0.70,-0.05
EL_Si,-0.70,-0.05
EL_AlSc2Si2,-0.66,-0.03
