,weight,bias
UTS_Al_1,-2.31,0.94
UTS_Al_2,2.06,-0.99
UTS_Si,16.87,-1.01
UTS_AlSc2Si2,80.21,-0.84
YS_Al_1,-0.26,0.10
YS_Al_2,-0.38,0.18
YS_Si,-2.66,0.16
YS_AlSc2Si2,-30.54,0.32
EL_Al_1,3.50,-1.42
EL_Al_2,-3.64,1.75
EL_Si,-29.48,1.77
EL_AlSc2Si2,-154.23,1.62
