,weight,bias
UTS_Al_1,-2.31,0.93
UTS_Al_2+Si,1.84,-0.99
UTS_AlSc2Si2,79.36,-0.83
YS_Al_1,0.21,-0.08
YS_Al_2+Si,-0.79,0.43
YS_AlSc2Si2,-53.66,0.56
EL_Al_1,3.26,-1.32
EL_Al_2+Si,-3.00,1.63
EL_AlSc2Si2,-142.37,1.49
