,weight,bias
UTS_Al_1,-2.11,0.86
UTS_Al_2+Si,1.63,-0.87
UTS_AlSc2Si2,71.37,-0.73
YS_Al_1,-0.34,0.14
YS_Al_2+Si,-0.23,0.12
YS_AlSc2Si2,-24.10,0.25
EL_Al_1,3.85,-1.56
EL_Al_2+Si,-3.63,1.94
EL_AlSc2Si2,-176.38,1.81
