,weight,bias
UTS_Al_1,-8.45,219.79
UTS_Al_2,6.58,219.11
UTS_Si,6.69,219.14
UTS_AlSc2Si2,5.72,218.87
YS_Al_1,-0.88,121.96
YS_Al_2,-0.68,121.80
YS_Si,-0.58,121.81
YS_AlSc2Si2,-1.42,121.80
EL_Al_1,1.50,6.67
EL_Al_2,-1.39,6.77
EL_Si,-1.39,6.77
EL_AlSc2Si2,-1.33,6.82
