,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
99,0.5050516,0.14779286,0.047579587,0.00067804754,0.0495
100,0.5050643,0.144968,0.04757607,0.00068569183,0.05
101,0.505077,0.14214316,0.047572523,0.0006933212,0.0505
102,0.50508976,0.13931832,0.047569007,0.0007009804,0.051
103,0.50510246,0.13649352,0.04756549,0.0007086098,0.0515
104,0.50511515,0.13366863,0.047561973,0.0007162392,0.052
105,0.50512785,0.13084386,0.047558457,0.0007238984,0.0525
106,0.5051406,0.12801899,0.04755494,0.0007315427,0.053
107,0.5051533,0.12519415,0.04755141,0.000739187,0.0535
108,0.50516605,0.122369274,0.047547907,0.0007468164,0.054
109,0.5051787,0.11954446,0.04754439,0.0007544756,0.0545
110,0.50519145,0.11671962,0.047540873,0.000762105,0.055
111,0.5052041,0.113894776,0.047537357,0.0007697344,0.0555
112,0.50521684,0.1110699,0.047533825,0.0007773936,0.056
113,0.50522953,0.10824509,0.047530293,0.000785023,0.0565
114,0.5052422,0.10542025,0.04752679,0.00079268217,0.057
115,0.505255,0.102595404,0.04752329,0.00080031157,0.0575
116,0.5052677,0.099770606,0.047519743,0.00080797076,0.058
117,0.5052804,0.09694572,0.04751624,0.00081560016,0.0585
118,0.5052931,0.094120905,0.047512725,0.00082324445,0.059
119,0.50530577,0.09129606,0.047509193,0.00083088875,0.0595
120,0.50531846,0.088471174,0.047505677,0.00083853304,0.06
121,0.50533116,0.08564639,0.04750216,0.00084617734,0.0605
122,0.5053439,0.08282149,0.04749863,0.00085380673,0.061
123,0.5053566,0.079996645,0.047495127,0.00086146593,0.0615
124,0.5053693,0.07717186,0.04749161,0.0008690953,0.062
125,0.505382,0.07434702,0.04748808,0.0008767545,0.0625
126,0.50539476,0.07152212,0.047484577,0.0008843839,0.063
127,0.50540745,0.0686973,0.047481045,0.0008920431,0.0635
128,0.5054201,0.06587249,0.04747753,0.0008996725,0.064
129,0.50543284,0.06304765,0.04747401,0.0009073019,0.0645
130,0.5054456,0.060222805,0.04747051,0.0009149611,0.065
131,0.50545824,0.05739796,0.047466964,0.0009225905,0.0655
132,0.505471,0.05457312,0.047463447,0.0009302348,0.066
133,0.5054837,0.051748276,0.047459945,0.0009378791,0.0665
134,0.5054964,0.048923373,0.047456414,0.0009455234,0.067
135,0.50550914,0.04609859,0.047452897,0.0009531677,0.0675
136,0.5055218,0.043273717,0.047449365,0.0009607971,0.068
137,0.5055345,0.040448904,0.04744585,0.00096845627,0.0685
138,0.5055472,0.03762406,0.047442347,0.00097608566,0.069
139,0.5055599,0.03479922,0.047438845,0.0009837449,0.0695
140,0.5055726,0.031974375,0.0474353,0.0009913743,0.07
141,0.5055853,0.029149532,0.047431797,0.0009990185,0.0705
142,0.50559807,0.02632466,0.047428265,0.0010066628,0.071
143,0.50561076,0.023499846,0.04742475,0.0010143071,0.0715
144,0.50562346,0.020675004,0.047421232,0.0010219514,0.072
145,0.5056362,0.01785016,0.047417715,0.0010295808,0.0725
146,0.50564885,0.015025318,0.047414184,0.0010372251,0.073
147,0.5056616,0.012200475,0.04741068,0.0010448694,0.0735
148,0.50567424,0.009375632,0.04740715,0.0010525137,0.074
149,0.505687,0.006550789,0.047403663,0.0010601431,0.0745
150,0.50501037,0.005777627,0.047400847,0.0010678619,0.075
151,0.5036173,0.007136643,0.04739879,0.0010756403,0.0755
152,0.5022242,0.008495748,0.04739672,0.0010834187,0.076
153,0.5008311,0.009854823,0.047394678,0.0010911971,0.0765
154,0.49943805,0.011213899,0.04739262,0.0010989606,0.077
155,0.49804497,0.012572944,0.047390565,0.001106739,0.0775
156,0.4966519,0.013932049,0.04738851,0.0011145324,0.078
157,0.4952588,0.015291125,0.047386467,0.0011222959,0.0785
158,0.4938658,0.0166502,0.047384396,0.0011300743,0.079
159,0.4924727,0.018009245,0.047382355,0.0011378527,0.0795
160,0.49107963,0.01936835,0.0473803,0.0011456311,0.08
161,0.48968655,0.020727396,0.047378227,0.0011534095,0.0805
162,0.48829347,0.022086501,0.0473762,0.0011611879,0.081
163,0.48690045,0.023445547,0.04737413,0.0011689663,0.0815
164,0.4855073,0.024804652,0.047372073,0.0011767447,0.082
165,0.4841143,0.026163757,0.047370017,0.0011845082,0.0825
166,0.48272115,0.027522832,0.047367975,0.0011923015,0.083
167,0.48132813,0.028881878,0.047365904,0.001200065,0.0835
168,0.47993505,0.030240983,0.047363862,0.0012078434,0.084
169,0.47854197,0.0316,0.04736182,0.0012156218,0.0845
170,0.4771489,0.032959104,0.047359735,0.0012234002,0.085
171,0.47575587,0.03431818,0.047357693,0.0012311786,0.0855
172,0.47436273,0.035677254,0.04735565,0.001238957,0.086
173,0.47296965,0.03703627,0.047353625,0.0012467355,0.0865
174,0.47157657,0.038395375,0.04735154,0.0012545139,0.087
175,0.47018355,0.03975448,0.047349438,0.0012622774,0.0875
176,0.46879047,0.041113526,0.047347426,0.0012700558,0.088
177,0.4673974,0.04247263,0.04734537,0.0012778342,0.0885
178,0.46600425,0.043831706,0.04734333,0.0012856126,0.089
179,0.46461117,0.04519078,0.047341257,0.001293391,0.0895
180,0.46321815,0.046549857,0.04733923,0.0013011545,0.09
181,0.46182507,0.047908932,0.04733716,0.0013089329,0.0905
182,0.46043205,0.049267977,0.04733509,0.0013167113,0.091
183,0.45903897,0.050627142,0.047333047,0.0013245046,0.0915
184,0.45764583,0.051986128,0.04733102,0.0013322681,0.092
185,0.4562528,0.053345233,0.04732895,0.0013400465,0.0925
186,0.45485967,0.05470434,0.047326878,0.0013478249,0.093
187,0.45346665,0.056063384,0.047324836,0.0013555884,0.0935
188,0.45207357,0.05742246,0.047322795,0.0013633668,0.094
189,0.4506805,0.058781505,0.047320724,0.0013711452,0.0945
190,0.4492874,0.06014058,0.047318652,0.0013789386,0.095
191,0.44789433,0.061499625,0.04731661,0.0013867021,0.0955
192,0.44650126,0.06285873,0.047314554,0.0013944805,0.096
193,0.44510818,0.064217806,0.047312513,0.0014022589,0.0965
194,0.4437151,0.06557691,0.04731044,0.0014100373,0.097
195,0.44232208,0.06693599,0.047308415,0.0014178157,0.0975
196,0.440929,0.06829503,0.04730636,0.0014255941,0.098
197,0.43953592,0.06965414,0.047304288,0.0014333576,0.0985
198,0.43814284,0.07101318,0.04730223,0.0014411509,0.099
199,0.43674976,0.07237229,0.04730019,0.0014489293,0.0995
200,0.43535668,0.07373133,0.04729812,0.0014567077,0.1
201,0.4339636,0.07509044,0.047296077,0.0014644712,0.1005
202,0.43257058,0.07644948,0.04729405,0.0014722496,0.101
203,0.43117744,0.07780862,0.04729198,0.001480028,0.1015
204,0.42978442,0.079167634,0.047289908,0.0014878213,0.102
205,0.42839134,0.08052671,0.04728785,0.0014955997,0.1025
206,0.4269982,0.081885815,0.047285825,0.0015033633,0.103
207,0.42560524,0.08324486,0.047283724,0.0015111417,0.1035
208,0.4242121,0.084603995,0.047281682,0.0015189052,0.104
209,0.42281896,0.0859631,0.047279626,0.0015266836,0.1045
210,0.42142594,0.087322086,0.047277585,0.0015344769,0.105
211,0.42003286,0.08868122,0.047275543,0.0015422404,0.1055
212,0.41863978,0.09004024,0.0472735,0.0015500188,0.106
213,0.41724676,0.09139936,0.047271416,0.0015577972,0.1065
214,0.41585368,0.09275843,0.04726939,0.0015655756,0.107
215,0.4144606,0.09411748,0.047267303,0.001573354,0.1075
216,0.41306752,0.09547654,0.047265306,0.0015811324,0.108
217,0.41167444,0.09683567,0.047263205,0.0015889257,0.1085
218,0.41028142,0.09819469,0.047261134,0.0015966892,0.109
219,0.40888834,0.099553734,0.047259077,0.0016044676,0.1095
220,0.40749526,0.100912884,0.04725702,0.0016122311,0.11
221,0.40610212,0.102271974,0.04725501,0.0016200095,0.1105
222,0.40470904,0.103631005,0.047252923,0.001627773,0.111
223,0.40331596,0.10499011,0.047250897,0.0016355664,0.1115
224,0.40192288,0.106349185,0.04724881,0.0016433299,0.112
225,0.40052986,0.107708216,0.04724677,0.0016511232,0.1125
226,0.39913678,0.10906723,0.047244728,0.0016589016,0.113
227,0.3977437,0.110426396,0.047242686,0.0016666651,0.1135
228,0.39635056,0.11178549,0.047240615,0.0016744435,0.114
229,0.39495754,0.11314452,0.04723856,0.0016822219,0.1145
230,0.39356446,0.11450368,0.047236487,0.0016900003,0.115
231,0.39217138,0.11586273,0.047234476,0.0016977787,0.1155
232,0.39077836,0.11722174,0.04723239,0.0017055571,0.116
233,0.38938522,0.11858085,0.04723032,0.0017133355,0.1165
234,0.38799226,0.11993986,0.047228277,0.0017211139,0.117
235,0.38659912,0.121299,0.047226205,0.0017288774,0.1175
236,0.38520604,0.1226581,0.047224194,0.0017366409,0.118
237,0.38381296,0.12401721,0.047222108,0.0017444193,0.1185
238,0.38241988,0.1253762,0.047220096,0.0017522126,0.119
239,0.38102686,0.12673526,0.047218025,0.001759991,0.1195
240,0.37963378,0.12809435,0.04721594,0.0017677695,0.12
241,0.3782407,0.12945345,0.047213912,0.001775533,0.1205
242,0.37684762,0.13081253,0.04721187,0.0017833114,0.121
243,0.37545455,0.13217157,0.047209784,0.0017910898,0.1215
244,0.37406147,0.13353068,0.047207713,0.0017988533,0.122
245,0.37266845,0.1348897,0.047205687,0.0018066615,0.1225
246,0.3712753,0.13624886,0.04720366,0.001814425,0.123
247,0.36988223,0.13760792,0.047201574,0.0018222034,0.1235
248,0.3684892,0.13896696,0.047199517,0.0018299967,0.124
249,0.36709607,0.14032607,0.04719746,0.0018377602,0.1245
250,0.36570305,0.14168511,0.047195375,0.0018455386,0.125
