,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
121,0.90426433,0.04750593,0.0007746443,0.0605
122,0.90425646,0.04750371,0.0007836297,0.061
123,0.9042486,0.047501504,0.0007925853,0.0615
124,0.9042407,0.04749927,0.0008015707,0.062
125,0.90423286,0.047497094,0.0008105561,0.0625
126,0.904225,0.047494844,0.0008195564,0.063
127,0.9042171,0.047492653,0.0008285269,0.0635
128,0.90420926,0.047490448,0.0008374974,0.064
129,0.9042014,0.047488213,0.0008464679,0.0645
130,0.9041935,0.047486007,0.0008554533,0.065
131,0.9041857,0.047483817,0.0008644536,0.0655
132,0.9041778,0.047481596,0.0008734241,0.066
133,0.9041699,0.04747939,0.0008824095,0.0665
134,0.90416205,0.04747717,0.0008913502,0.067
135,0.9041542,0.04747495,0.0009003654,0.0675
136,0.9041463,0.047472745,0.000909321,0.068
137,0.90413845,0.047470555,0.0009183213,0.0685
138,0.9041306,0.047468334,0.0009273067,0.069
139,0.9041227,0.04746613,0.0009362623,0.0695
140,0.90411484,0.047463894,0.0009452477,0.07
141,0.904107,0.04746169,0.0009542182,0.0705
142,0.9040991,0.04745947,0.0009632334,0.071
143,0.90409124,0.047457248,0.000972189,0.0715
144,0.9040833,0.047455058,0.0009811744,0.072
145,0.9040755,0.047452837,0.0009901449,0.0725
146,0.90406764,0.04745063,0.0009991005,0.073
147,0.90405977,0.047448397,0.0010081157,0.0735
148,0.9040519,0.04744619,0.0010170862,0.074
149,0.904044,0.04744397,0.0010260716,0.0745
150,0.90403616,0.047441766,0.001035057,0.075
151,0.9040283,0.047439605,0.0010440126,0.0755
152,0.9040204,0.047437355,0.0010530129,0.076
153,0.90401256,0.047435164,0.0010619685,0.0765
154,0.9040047,0.04743293,0.0010709539,0.077
155,0.9039968,0.04743074,0.0010799542,0.0775
156,0.90398896,0.04742852,0.0010889098,0.078
157,0.9039811,0.047426313,0.0010978952,0.0785
158,0.9039732,0.047424093,0.0011068806,0.079
159,0.9039653,0.047421873,0.0011158511,0.0795
160,0.9039575,0.047419652,0.0011248514,0.08
161,0.9039496,0.047417477,0.0011338219,0.0805
162,0.90394175,0.047415257,0.0011427775,0.081
163,0.9039339,0.04741302,0.0011517778,0.0815
164,0.9039261,0.047410846,0.0011607483,0.082
165,0.90391815,0.04740864,0.0011697337,0.0825
166,0.9039102,0.047406405,0.0011787191,0.083
167,0.9039024,0.0474042,0.0011877045,0.0835
168,0.90389454,0.047401965,0.001196675,0.084
169,0.9038867,0.04739979,0.0012056306,0.0845
170,0.9038788,0.04739757,0.0012146458,0.085
171,0.90387094,0.04739532,0.0012236163,0.0855
172,0.9038631,0.047393113,0.0012326017,0.086
173,0.90385526,0.047390923,0.0012415722,0.0865
174,0.9038474,0.047388703,0.0012505427,0.087
175,0.90383947,0.047386527,0.0012595132,0.0875
176,0.90383166,0.047384307,0.0012685135,0.088
177,0.90382373,0.047382087,0.0012774989,0.0885
178,0.90381587,0.04737988,0.0012864396,0.089
179,0.90380794,0.04737766,0.0012954399,0.0895
180,0.90380013,0.04737544,0.0013044253,0.09
181,0.9037923,0.047373235,0.0013134107,0.0905
182,0.90378445,0.04737103,0.0013223812,0.091
183,0.9037765,0.04736881,0.0013313666,0.0915
184,0.90376866,0.04736659,0.001340352,0.092
185,0.90376085,0.047364384,0.0013493076,0.0925
186,0.9037529,0.04736218,0.001358293,0.093
187,0.90374506,0.047359943,0.0013672933,0.0935
188,0.9037372,0.047357768,0.0013762638,0.094
189,0.9037293,0.047355548,0.0013852492,0.0945
190,0.90372145,0.047353327,0.0013942048,0.095
191,0.9037136,0.047351107,0.0014031902,0.0955
192,0.9037057,0.047348887,0.0014121905,0.096
193,0.9036978,0.04734668,0.001421161,0.0965
194,0.90369,0.04734449,0.0014301464,0.097
195,0.9036821,0.04734227,0.0014391169,0.0975
196,0.90367424,0.047340095,0.0014480725,0.098
197,0.9036664,0.047337845,0.0014570728,0.0985
198,0.9036585,0.047335654,0.0014660582,0.099
199,0.90365064,0.047333434,0.0014750436,0.0995
200,0.9036428,0.047331214,0.0014840141,0.1
201,0.9036349,0.047329023,0.0014929622,0.1005
202,0.90362704,0.047326818,0.0015019625,0.101
203,0.90361917,0.047324583,0.0015109405,0.1015
204,0.90361124,0.047322392,0.001519911,0.102
205,0.9036035,0.047320157,0.0015289336,0.1025
206,0.90359557,0.04731798,0.0015378967,0.103
207,0.90358776,0.04731576,0.0015468523,0.1035
208,0.9035799,0.04731354,0.0015558451,0.104
209,0.903572,0.047311336,0.0015648231,0.1045
210,0.9035641,0.047309116,0.0015738085,0.105
211,0.9035562,0.047306895,0.0015827864,0.1055
212,0.9035484,0.04730472,0.001591742,0.106
213,0.90354055,0.047302485,0.0016007423,0.1065
214,0.9035327,0.04730028,0.0016097277,0.107
215,0.90352476,0.047298074,0.0016186908,0.1075
216,0.903517,0.04729584,0.0016276911,0.108
217,0.903509,0.04729362,0.0016366616,0.1085
218,0.90350115,0.047291428,0.0016456246,0.109
219,0.9034934,0.047289222,0.0016546175,0.1095
220,0.9034855,0.047287002,0.0016636029,0.11
221,0.90347755,0.047284782,0.0016725659,0.1105
222,0.9034697,0.047282577,0.0016815588,0.111
223,0.9034619,0.04728037,0.0016905218,0.1115
224,0.90345395,0.047278166,0.0016995147,0.112
225,0.90344614,0.04727596,0.0017084852,0.1125
226,0.90343827,0.047273725,0.0017174706,0.113
227,0.90343034,0.04727152,0.0017264634,0.1135
228,0.9034225,0.0472693,0.0017354339,0.114
229,0.90341455,0.04726711,0.001744397,0.1145
230,0.90340674,0.047264874,0.0017533898,0.115
231,0.9033989,0.04726267,0.0017623678,0.1155
232,0.903391,0.047260493,0.0017713383,0.116
233,0.90338314,0.047258258,0.0017803237,0.1165
234,0.90337527,0.047256052,0.0017893165,0.117
235,0.9033674,0.047253817,0.0017982796,0.1175
236,0.90335953,0.047251627,0.0018072501,0.118
237,0.9033517,0.047249407,0.0018162504,0.1185
238,0.9033438,0.0472472,0.0018252283,0.119
239,0.9033359,0.047244966,0.0018342137,0.1195
240,0.9033282,0.04724279,0.0018431917,0.12
241,0.9033203,0.047240555,0.0018521622,0.1205
242,0.9033123,0.04723835,0.0018611401,0.121
243,0.90330446,0.047236145,0.0018701181,0.1215
244,0.9032966,0.047233924,0.0018791109,0.122
245,0.9032888,0.04723172,0.0018880963,0.1225
246,0.9032809,0.04722953,0.0018970519,0.123
247,0.90327305,0.047227293,0.0019060448,0.1235
248,0.9032652,0.047225088,0.0019150227,0.124
249,0.90325725,0.047222868,0.0019240007,0.1245
250,0.90344155,0.04722503,0.0018187314,0.125
