,weight,bias
UTS_Al_1,-41.73,23.38
UTS_Al_2,1.13,0.61
UTS_Si,0.60,0.29
UTS_AlSi2Sr,-0.50,0.31
YS_Al_1,-31.71,17.24
YS_Al_2,0.16,0.09
YS_Si,0.48,0.23
YS_AlSi2Sr,0.04,-0.02
EL_Al_1,26.72,-14.67
EL_Al_2,-0.71,-0.39
EL_Si,-1.59,-0.78
EL_AlSi2Sr,-0.07,0.05
