,weight,bias
UTS_Al_1,-864.62,437.10
UTS_Al_2,7.34,-1.18
UTS_Si,351.83,-16.72
UTS_AlSi2Sr,-721.62,0.78
YS_Al_1,-656.88,331.55
YS_Al_2,1.03,-0.16
YS_Si,280.01,-13.30
YS_AlSi2Sr,55.05,-0.06
EL_Al_1,553.61,-279.57
EL_Al_2,-4.63,0.74
EL_Si,-928.66,44.12
EL_AlSi2Sr,-104.45,0.11
