Alloy_ID,PH_Al,PH_Si,PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
109,0.92123,0.05871,0.01043,0.00963,8,0.05
110,0.91609,0.06295,0.01121,0.00975,8.5,0.05
111,0.91214,0.06754,0.01196,0.00836,9,0.05
112,0.90601,0.07183,0.01268,0.00948,9.5,0.05
113,0.90069,0.07627,0.0134,0.00964,10,0.05
114,0.89635,0.08093,0.01448,0.00824,10.5,0.05
115,0.89009,0.08536,0.01517,0.00938,11,0.05
116,0.88448,0.08991,0.01587,0.00974,11.5,0.05
117,0.87888,0.09446,0.01688,0.00978,12,0.05
118,0.87371,0.09928,0.0176,0.00941,12.5,0.05
119,0.86777,0.10387,0.01859,0.00977,13,0.05
120,0.86215,0.10866,0.01923,0.00996,13.5,0.05
121,0.96003,0.02599,0.0044,0.00958,4,0.1
122,0.9557,0.02992,0.00503,0.00935,4.5,0.1
123,0.95081,0.03382,0.00581,0.00956,5,0.1
124,0.9459,0.03781,0.00663,0.00966,5.5,0.1
125,0.94162,0.04194,0.00716,0.00928,6,0.1
126,0.9364,0.04603,0.008,0.00957,6.5,0.1
127,0.93138,0.05018,0.00874,0.0097,7,0.1
128,0.92698,0.05455,0.00955,0.00892,7.5,0.1
129,0.92141,0.0587,0.01031,0.00958,8,0.1
130,0.9163,0.06302,0.01104,0.00964,8.5,0.1
131,0.91221,0.0676,0.01185,0.00834,9,0.1
132,0.90616,0.07183,0.01254,0.00947,9.5,0.1
133,0.90066,0.07628,0.01336,0.0097,10,0.1
134,0.89516,0.08078,0.01428,0.00978,10.5,0.1
135,0.89021,0.08538,0.01504,0.00937,11,0.1
136,0.88464,0.08994,0.01575,0.00967,11.5,0.1
137,0.87897,0.09448,0.01676,0.00979,12,0.1
138,0.87366,0.0993,0.01748,0.00956,12.5,0.1
139,0.86784,0.10392,0.01848,0.00976,13,0.1
140,0.8624,0.10871,0.0191,0.00979,13.5,0.1
141,0.9578,0.02569,0.00425,0.01226,4,0.15
142,0.95312,0.02957,0.00507,0.01224,4.5,0.15
143,0.94807,0.0335,0.00569,0.01274,5,0.15
144,0.9431,0.03743,0.00645,0.01302,5.5,0.15
145,0.93843,0.04158,0.00726,0.01273,6,0.15
146,0.93347,0.0457,0.00775,0.01308,6.5,0.15
147,0.92815,0.04979,0.00861,0.01345,7,0.15
148,0.92406,0.05419,0.00936,0.01239,7.5,0.15
149,0.91798,0.0583,0.01015,0.01357,8,0.15
150,0.91284,0.06262,0.01085,0.01369,8.5,0.15
151,0.90908,0.06716,0.01168,0.01208,9,0.15
152,0.90273,0.07145,0.01236,0.01346,9.5,0.15
153,0.89681,0.07579,0.01339,0.01401,10,0.15
154,0.89137,0.08038,0.01413,0.01412,10.5,0.15
155,0.88637,0.0849,0.01492,0.01381,11,0.15
156,0.88094,0.08947,0.01556,0.01403,11.5,0.15
157,0.8752,0.09401,0.01657,0.01422,12,0.15
158,0.87007,0.09886,0.0173,0.01377,12.5,0.15
