Alloy_ID,PH_Al,PH_Al(2),PH_Si,PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
151,0.36912,0.53029,0.06608,0.01168,0.00078,9,0.15
152,0.32854,0.56135,0.06996,0.01236,0.00087,9.5,0.15
153,0.2881,0.60762,0.07572,0.01339,0.00091,10,0.15
161,0.75242,0.19775,0.02474,0.00424,0.00115,4,0.2
162,0.71618,0.22787,0.02849,0.0049,0.00115,4.5,0.2
163,0.68016,0.26196,0.03274,0.00565,0.00119,5,0.2
164,0.64302,0.28876,0.03608,0.00624,0.00121,5.5,0.2
165,0.60536,0.32503,0.0406,0.00705,0.00118,6,0.2
166,0.56762,0.35975,0.04493,0.00781,0.00123,6.5,0.2
167,0.52883,0.38372,0.04792,0.00835,0.00124,7,0.2
168,0.48943,0.4183,0.05222,0.00912,0.00119,7.5,0.2
169,0.4502,0.45621,0.05694,0.00995,0.00126,8,0.2
170,0.41052,0.48647,0.06071,0.01062,0.00127,8.5,0.2
171,0.36965,0.51508,0.06427,0.01126,0.00127,9,0.2
172,0.32907,0.55405,0.06912,0.01213,0.00126,9.5,0.2
173,0.28869,0.60092,0.07495,0.01317,0.0013,10,0.2
181,0.75262,0.18829,0.02358,0.004,0.0015,4,0.25
182,0.71647,0.21729,0.0272,0.00463,0.0015,4.5,0.25
183,0.68047,0.25275,0.03162,0.00541,0.00156,5,0.25
184,0.64336,0.28123,0.03518,0.00603,0.0016,5.5,0.25
185,0.60573,0.31527,0.03942,0.00679,0.00155,6,0.25
186,0.56801,0.351,0.04388,0.00757,0.00162,6.5,0.25
187,0.52974,0.38669,0.04833,0.00836,0.00166,7,0.25
188,0.48988,0.41036,0.05127,0.00889,0.00157,7.5,0.25
189,0.45068,0.44966,0.05617,0.00975,0.00167,8,0.25
190,0.41103,0.481,0.06008,0.01044,0.00169,8.5,0.25
191,0.37015,0.51465,0.06426,0.0112,0.00159,9,0.25
192,0.33021,0.56035,0.06996,0.0122,0.00169,9.5,0.25
193,0.28929,0.59352,0.07409,0.01294,0.00172,10,0.25
201,0.7529,0.1826,0.02288,0.00384,0.00191,4,0.3
202,0.71726,0.21887,0.02741,0.00463,0.00191,4.5,0.3
