,weight,bias
UTS_Al_1,-0.44,0.06
UTS_Al_2+Si,0.34,0.02
UTS_AlSc2Si2,0.29,0.01
YS_Al_1,0.06,-0.01
YS_Al_2+Si,-0.18,-0.01
YS_AlSc2Si2,-0.23,-0.01
EL_Al_1,0.65,-0.08
EL_Al_2+Si,-0.59,-0.04
EL_AlSc2Si2,-0.56,-0.02
