,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
99,0.5050559,0.14778124,0.047573417,0.0006795395,0.0495
100,0.5050685,0.14495635,0.04757017,0.0006870683,0.05
101,0.505081,0.14213149,0.04756695,0.000694599,0.0505
102,0.5050936,0.13930671,0.047563672,0.0007021269,0.051
103,0.50510615,0.13648184,0.047560453,0.00070965756,0.0515
104,0.5051187,0.13365701,0.047557175,0.0007171873,0.052
105,0.5051313,0.13083224,0.047553927,0.0007247152,0.0525
106,0.5051439,0.12800743,0.04755068,0.0007322449,0.053
107,0.5051564,0.12518255,0.04754743,0.00073977374,0.0535
108,0.505169,0.12235774,0.04754418,0.00074730255,0.054
109,0.50518155,0.1195329,0.047540933,0.0007548323,0.0545
110,0.50519407,0.116707966,0.047537684,0.00076236203,0.055
111,0.5052067,0.1138832,0.047534436,0.0007698918,0.0555
112,0.5052192,0.11105828,0.047531158,0.0007774206,0.056
113,0.5052318,0.10823354,0.04752791,0.0007849494,0.0565
114,0.5052444,0.105408624,0.04752472,0.00079247914,0.057
115,0.5052569,0.10258381,0.047521442,0.0008000089,0.0575
116,0.50526947,0.09975903,0.047518194,0.0008075377,0.058
117,0.50528204,0.09693414,0.047514945,0.00081506744,0.0585
118,0.5052946,0.09410934,0.047511697,0.00082259625,0.059
119,0.5053072,0.09128451,0.04750845,0.000830126,0.0595
120,0.5053197,0.08845967,0.0475052,0.00083765574,0.06
121,0.50533235,0.085634746,0.04750195,0.00084518455,0.0605
122,0.50534487,0.08280998,0.047498673,0.0008527143,0.061
123,0.50535744,0.07998506,0.047495455,0.00086024404,0.0615
124,0.50537,0.077160336,0.047492206,0.00086777285,0.062
125,0.50538254,0.074335456,0.047488958,0.0008753026,0.0625
126,0.5053951,0.07151058,0.04748571,0.00088283233,0.063
127,0.50540763,0.06868578,0.04748246,0.00089036115,0.0635
128,0.50542027,0.0658609,0.047479212,0.0008978909,0.064
129,0.5054328,0.063036144,0.047475934,0.00090541877,0.0645
130,0.5054454,0.06021133,0.047472715,0.00091294944,0.065
131,0.50545794,0.057386458,0.047469467,0.0009204792,0.0655
132,0.5054705,0.054561637,0.04746622,0.00092800707,0.066
133,0.50548303,0.05173683,0.04746294,0.0009355368,0.0665
134,0.50549567,0.048911892,0.04745972,0.0009430675,0.067
135,0.5055082,0.046087146,0.047456443,0.00095059536,0.0675
136,0.50552076,0.043262273,0.047453195,0.0009581251,0.068
137,0.50553334,0.0404374,0.047449976,0.0009656539,0.0685
138,0.50554585,0.03761258,0.047446698,0.00097318366,0.069
139,0.50555843,0.034787714,0.04744345,0.0009807125,0.0695
140,0.505571,0.0319629,0.04744026,0.0009882422,0.07
141,0.5055836,0.02913808,0.047436982,0.000995772,0.0705
142,0.5055961,0.02631326,0.047433704,0.0010033008,0.071
143,0.5056087,0.023488387,0.047430456,0.0010108305,0.0715
144,0.50562125,0.020663574,0.047427207,0.0010183593,0.072
145,0.5056338,0.017838709,0.04742399,0.0010258891,0.0725
146,0.50564635,0.015013844,0.04742071,0.0010334179,0.073
147,0.5056589,0.012189098,0.04741749,0.0010409476,0.0735
148,0.5056715,0.009364195,0.047414213,0.0010484764,0.074
149,0.5056841,0.00653933,0.047410965,0.0010560062,0.0745
150,0.50500935,0.005760491,0.047408193,0.0010637175,0.075
151,0.50361645,0.007119477,0.04740584,0.0010716189,0.0755
152,0.50222355,0.008478522,0.047403574,0.0010795202,0.076
153,0.5008307,0.009837508,0.04740125,0.0010874216,0.0765
154,0.49943784,0.011196613,0.047398925,0.0010953229,0.077
155,0.49804497,0.01255554,0.0473966,0.0011032242,0.0775
156,0.4966521,0.0139145255,0.047394305,0.0011111256,0.078
157,0.49525917,0.015273631,0.04739198,0.0011190269,0.0785
158,0.4938663,0.016632617,0.047389686,0.0011269283,0.079
159,0.49247342,0.017991543,0.04738736,0.0011348296,0.0795
160,0.49108055,0.019350588,0.047385037,0.0011427309,0.08
161,0.4896877,0.020709634,0.047382742,0.0011506313,0.0805
162,0.4882948,0.02206868,0.047380418,0.0011585336,0.081
163,0.48690188,0.023427606,0.047378123,0.001166434,0.0815
164,0.48550898,0.024786651,0.0473758,0.0011743363,0.082
