,weight,bias
UTS_Al,-28.42,13.54
UTS_Al2,0.83,-0.09
UTS_Si,8.94,3.13
UTS_AlSi2Sr,-1.37,-0.46
YS_Al,-3.16,1.25
YS_Al2,0.08,-0.27
YS_Si,0.86,0.04
YS_AlSi2Sr,-0.13,-0.31
EL_Al,12.99,-6.23
EL_Al2,-0.39,-0.01
EL_Si,-4.18,-1.51
EL_AlSi2Sr,0.64,0.16
