,Al,Al2,Si,Al2Si2Sr
0,0.44,0.96,2.89,-0.83
1,0.45,0.96,2.55,-0.83
2,0.45,0.96,2.21,-0.83
3,0.45,0.96,1.87,-0.84
4,0.45,0.96,1.53,-0.84
5,0.45,0.96,1.20,-0.84
6,0.45,0.96,0.86,-0.84
7,0.45,0.96,0.52,-0.84
8,0.45,0.96,0.18,-0.85
9,0.45,0.96,-0.16,-0.85
10,0.45,0.95,-0.27,-0.84
11,0.45,0.93,-0.27,-0.83
12,0.45,0.91,-0.28,-0.82
13,0.45,0.89,-0.28,-0.81
14,0.45,0.87,-0.28,-0.79
15,0.45,0.85,-0.28,-0.78
16,0.45,0.83,-0.28,-0.77
17,0.46,0.81,-0.29,-0.76
18,0.46,0.79,-0.29,-0.75
19,0.46,0.77,-0.29,-0.73
20,0.46,0.75,-0.29,-0.72
21,0.46,0.73,-0.29,-0.71
22,0.46,0.71,-0.29,-0.70
23,0.46,0.69,-0.30,-0.69
24,0.46,0.68,-0.30,-0.68
25,0.46,0.66,-0.30,-0.66
26,0.46,0.64,-0.30,-0.65
27,0.46,0.62,-0.30,-0.64
28,0.46,0.60,-0.31,-0.63
29,0.46,0.58,-0.31,-0.62
30,0.46,0.56,-0.31,-0.61
31,0.46,0.54,-0.31,-0.59
32,0.46,0.52,-0.31,-0.58
33,0.46,0.50,-0.31,-0.57
34,0.46,0.48,-0.32,-0.56
35,0.47,0.46,-0.32,-0.55
36,0.47,0.44,-0.32,-0.53
37,0.47,0.42,-0.32,-0.52
38,0.47,0.40,-0.32,-0.51
39,0.47,0.38,-0.32,-0.50
40,0.47,0.36,-0.33,-0.49
41,0.47,0.34,-0.33,-0.48
42,0.47,0.33,-0.33,-0.46
43,0.47,0.31,-0.33,-0.45
44,0.47,0.29,-0.33,-0.44
45,0.47,0.27,-0.34,-0.43
46,0.47,0.25,-0.34,-0.42
47,0.47,0.23,-0.34,-0.41
48,0.47,0.21,-0.34,-0.39
49,0.47,0.19,-0.34,-0.38
50,0.47,0.17,-0.34,-0.37
51,0.47,0.15,-0.35,-0.36
52,0.48,0.13,-0.35,-0.35
53,0.48,0.11,-0.35,-0.33
54,0.48,0.09,-0.35,-0.32
55,0.48,0.07,-0.35,-0.31
56,0.48,0.05,-0.36,-0.30
57,0.48,0.03,-0.36,-0.29
58,0.48,0.01,-0.36,-0.28
59,0.48,-0.01,-0.36,-0.26
60,0.48,-0.02,-0.36,-0.25
61,0.48,-0.04,-0.36,-0.24
62,0.48,-0.06,-0.37,-0.23
63,0.48,-0.08,-0.37,-0.22
64,0.48,-0.10,-0.37,-0.21
65,0.48,-0.12,-0.37,-0.19
66,0.48,-0.14,-0.37,-0.18
67,0.48,-0.16,-0.38,-0.17
68,0.48,-0.18,-0.38,-0.16
