,weight,bias
UTS_Al_1,-57.31,246.94
UTS_Al_2+Si,48.10,197.67
UTS_AlSc2Si2,2170.64,200.98
YS_Al_1,1.94,119.36
YS_Al_2+Si,-9.65,125.38
YS_AlSc2Si2,-664.30,127.11
EL_Al_1,4.61,5.27
EL_Al_2+Si,-4.16,9.39
EL_AlSc2Si2,-195.57,9.19
