,weight,bias
UTS_Al_1,-2.89,1.17
UTS_Al_2+Si,2.49,-1.35
UTS_AlSc2Si2,113.10,-1.19
YS_Al_1,-0.25,0.10
YS_Al_2+Si,-0.33,0.18
YS_AlSc2Si2,-30.61,0.32
EL_Al_1,3.19,-1.29
EL_Al_2+Si,-2.93,1.59
EL_AlSc2Si2,-138.95,1.46
