,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
99,0.5058448,0.39868754,0.04754739,0.0006536556,0.0495
100,0.50586945,0.39865744,0.0475449,0.00066092523,0.05
101,0.5058942,0.39862737,0.047542408,0.00066819484,0.0505
102,0.50591886,0.3985973,0.04753992,0.0006754645,0.051
103,0.5059436,0.3985672,0.04753743,0.00068273407,0.0515
104,0.5059683,0.3985371,0.047534943,0.0006900036,0.052
105,0.505993,0.39850703,0.04753245,0.0006972732,0.0525
106,0.5060177,0.39847696,0.047529962,0.00070454273,0.053
107,0.50604236,0.3984469,0.047527473,0.0007118124,0.0535
108,0.5060671,0.3984168,0.04752498,0.000719082,0.054
109,0.5060918,0.39838672,0.047522493,0.0007263516,0.0545
110,0.5061165,0.39835662,0.047520004,0.0007336212,0.055
111,0.5061412,0.39832652,0.047517512,0.0007408908,0.0555
112,0.5061659,0.39829645,0.047515023,0.00074816035,0.056
113,0.50619066,0.39826638,0.047512535,0.00075542997,0.0565
114,0.50621533,0.39823627,0.047510043,0.0007626995,0.057
115,0.50624007,0.39820617,0.047507554,0.00076996913,0.0575
116,0.50626475,0.3981761,0.047505066,0.0007772387,0.058
117,0.5062894,0.39814603,0.047502574,0.00078450824,0.0585
118,0.50631416,0.39811593,0.047500085,0.000791778,0.059
119,0.50633883,0.39808586,0.047497597,0.0007990475,0.0595
120,0.5063636,0.39805576,0.047495104,0.000806317,0.06
121,0.5063883,0.3980257,0.047492616,0.00081358664,0.0605
122,0.506413,0.3979956,0.047490127,0.0008208563,0.061
123,0.50643766,0.39796552,0.047487635,0.00082812586,0.0615
124,0.5064624,0.39793545,0.047485147,0.0008353955,0.062
125,0.50648713,0.39790535,0.04748266,0.00084266503,0.0625
126,0.5065118,0.39787528,0.047480166,0.00084993464,0.063
127,0.5065365,0.3978452,0.047477677,0.0008572043,0.0635
128,0.5065612,0.3978151,0.04747519,0.0008644739,0.064
129,0.5065859,0.39778504,0.047472697,0.00087174337,0.0645
130,0.50661063,0.39775494,0.04747021,0.0008790129,0.065
131,0.5066353,0.39772487,0.04746772,0.00088628265,0.0655
132,0.50666,0.39769477,0.047465228,0.0008935522,0.066
133,0.5066847,0.3976647,0.04746274,0.0009008218,0.0665
134,0.50670946,0.3976346,0.04746025,0.0009080914,0.067
135,0.50673413,0.39760453,0.04745776,0.000915361,0.0675
136,0.50675887,0.39757445,0.04745527,0.00092263066,0.068
137,0.50678355,0.39754435,0.04745278,0.0009299001,0.0685
138,0.5068083,0.39751428,0.04745029,0.0009371697,0.069
139,0.50683296,0.39748418,0.0474478,0.0009444393,0.0695
140,0.5068577,0.3974541,0.047445312,0.000951709,0.07
141,0.50688237,0.39742404,0.04744282,0.0009589786,0.0705
142,0.5069071,0.39739394,0.04744033,0.00096624816,0.071
143,0.5069318,0.39736387,0.047437843,0.0009735178,0.0715
144,0.50695646,0.39733377,0.04743535,0.0009807872,0.072
145,0.5069812,0.3973037,0.047432862,0.0009880569,0.0725
146,0.5070059,0.3972736,0.047430374,0.0009953266,0.073
147,0.5070306,0.39724353,0.04742788,0.0010025961,0.0735
148,0.50705534,0.39721343,0.047425393,0.0010098657,0.074
149,0.50708,0.39718336,0.047422905,0.0010171353,0.0745
150,0.50710475,0.3971533,0.047420412,0.0010244049,0.075
151,0.50712943,0.3971232,0.047417924,0.0010316743,0.0755
152,0.5071541,0.39709312,0.047415435,0.001038944,0.076
153,0.50717884,0.39706302,0.047412943,0.0010462136,0.0765
154,0.5069345,0.39730027,0.04741044,0.0010537734,0.077
155,0.50535566,0.39886367,0.04740786,0.0010627728,0.0775
156,0.50377685,0.40042704,0.047405288,0.0010717721,0.078
157,0.502198,0.40199047,0.04740271,0.0010807714,0.0785
158,0.5006191,0.40355384,0.04740013,0.0010897708,0.079
159,0.4990403,0.4051172,0.047397558,0.00109877,0.0795
160,0.49746147,0.40668058,0.04739498,0.0011077693,0.08
161,0.49588263,0.40824398,0.0473924,0.0011167687,0.0805
162,0.4943038,0.40980738,0.047389828,0.0011257681,0.081
163,0.49272496,0.41137075,0.04738725,0.0011347674,0.0815
164,0.4911461,0.41293415,0.047384672,0.0011437667,0.082
165,0.48956725,0.41449755,0.047382094,0.001152766,0.0825
166,0.4879884,0.41606092,0.04737952,0.0011617653,0.083
167,0.48640957,0.41762432,0.047376942,0.0011707647,0.0835
168,0.48483074,0.4191877,0.047374364,0.001179764,0.084
169,0.4832519,0.4207511,0.04737179,0.0011887633,0.0845
170,0.48167303,0.4223145,0.047369212,0.0011977627,0.085
171,0.4800942,0.4238779,0.047366634,0.0012067619,0.0855
172,0.47851536,0.42544127,0.047364056,0.0012157613,0.086
173,0.47693652,0.42700464,0.047361482,0.0012247605,0.0865
174,0.47535768,0.42856804,0.047358904,0.0012337598,0.087
175,0.47377884,0.43013144,0.047356326,0.0012427592,0.0875
176,0.47219998,0.4316948,0.047353752,0.0012517587,0.088
177,0.47062114,0.4332582,0.047351174,0.0012607579,0.0885
178,0.4690423,0.4348216,0.047348596,0.0012697573,0.089
179,0.46746346,0.43638498,0.04734602,0.0012787567,0.0895
180,0.46588463,0.43794838,0.047343444,0.001287756,0.09
181,0.4643058,0.43951175,0.047340866,0.0012967552,0.0905
182,0.46272695,0.44107512,0.04733829,0.0013057544,0.091
183,0.4611481,0.44263852,0.047335714,0.0013147538,0.0915
184,0.45956928,0.44420192,0.047333136,0.0013237532,0.092
185,0.4579904,0.4457653,0.04733056,0.0013327525,0.0925
186,0.45641157,0.4473287,0.04732798,0.0013417519,0.093
187,0.45483273,0.4488921,0.047325406,0.0013507511,0.0935
188,0.4532539,0.45045546,0.04732283,0.0013597504,0.094
189,0.45167506,0.45201886,0.04732025,0.0013687498,0.0945
190,0.45009622,0.45358223,0.047317676,0.0013777491,0.095
191,0.44851735,0.45514563,0.0473151,0.0013867485,0.0955
192,0.4469385,0.45670903,0.04731252,0.0013957478,0.096
193,0.44535968,0.4582724,0.047309946,0.0014047471,0.0965
194,0.44378084,0.4598358,0.04730737,0.0014137465,0.097
195,0.442202,0.46139917,0.04730479,0.0014227458,0.0975
196,0.44062316,0.46296257,0.047302213,0.001431745,0.098
197,0.43904433,0.46452594,0.04729964,0.0014407444,0.0985
198,0.43746546,0.46608934,0.04729706,0.0014497438,0.099
199,0.43588662,0.46765274,0.047294483,0.0014587431,0.0995
200,0.43430778,0.4692161,0.04729191,0.0014677425,0.1
201,0.43272895,0.4707795,0.04728933,0.0014767417,0.1005
202,0.43115008,0.4723429,0.047286753,0.0014857411,0.101
