,weight,bias
UTS_Al_1,-131.08,66.74
UTS_Al_2,4.82,-0.77
UTS_Si,388.35,-18.49
UTS_AlSi2Sr,-1556.41,1.37
YS_Al_1,-293.85,148.20
YS_Al_2,-2.34,0.37
YS_Si,133.75,-6.37
YS_AlSi2Sr,40.12,-0.04
EL_Al_1,282.29,-142.31
EL_Al_2,-3.93,0.62
EL_Si,-1157.50,55.12
EL_AlSi2Sr,305.40,-0.27
