,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.50342137,0.44075677,0.052607574,-8.405419e-06,0.0
1,0.50354534,0.436724,0.052124947,-8.349423e-06,0.0005
2,0.5035572,0.43281123,0.051641915,-7.618917e-06,0.001
3,0.5035691,0.42889848,0.051158886,-6.888411e-06,0.0015
4,0.503581,0.42498568,0.05067586,-6.157905e-06,0.002
5,0.5035929,0.42107296,0.050192833,-5.427515e-06,0.0025
6,0.50360477,0.41716018,0.049709808,-4.697009e-06,0.003
7,0.50361663,0.4132474,0.049226776,-3.966503e-06,0.0035
8,0.50362855,0.40933466,0.048743747,-3.2361131e-06,0.004
9,0.5036405,0.4054219,0.048260722,-2.505607e-06,0.0045
10,0.50365233,0.40150914,0.047777694,-1.7752172e-06,0.005
11,0.50367635,0.4013409,0.047758196,5.294569e-06,0.0055
12,0.50370085,0.40131053,0.04775577,1.2597884e-05,0.006
13,0.50372535,0.40128022,0.047753345,1.99012e-05,0.0065
14,0.50374985,0.4012499,0.047750916,2.7204514e-05,0.007
15,0.50377434,0.40121958,0.04774849,3.4507713e-05,0.0075
16,0.50379884,0.4011892,0.047746066,4.181103e-05,0.008
17,0.50382334,0.40115887,0.04774364,4.9114227e-05,0.0085
18,0.5038478,0.40112853,0.047741216,5.6417543e-05,0.009
19,0.5038723,0.4010982,0.04773879,6.3720974e-05,0.0095
20,0.5038968,0.4010679,0.04773636,7.102429e-05,0.01
21,0.5039213,0.40103757,0.047733936,7.8327605e-05,0.0105
22,0.5039457,0.40100724,0.04773151,8.56308e-05,0.011
23,0.50397027,0.4009769,0.047729086,9.293412e-05,0.0115
24,0.50399476,0.40094656,0.04772666,0.000100237434,0.012
25,0.50401926,0.40091622,0.047724232,0.00010754063,0.0125
26,0.5040437,0.40088588,0.047721807,0.00011484383,0.013
27,0.5040682,0.40085554,0.04771938,0.00012214726,0.0135
28,0.50409275,0.4008252,0.047716957,0.00012945046,0.014
29,0.5041172,0.40079486,0.04771453,0.00013675378,0.0145
30,0.5041417,0.40076452,0.047712106,0.00014405709,0.015
31,0.5041661,0.40073425,0.047709677,0.00015136052,0.0155
32,0.5041907,0.4007039,0.047707252,0.00015866372,0.016
33,0.5042151,0.40067357,0.047704827,0.00016596704,0.0165
34,0.5042396,0.40064323,0.047702402,0.00017327024,0.017
35,0.5042641,0.4006129,0.047699977,0.00018057367,0.0175
36,0.5042886,0.40058255,0.047697548,0.00018787698,0.018
37,0.5043131,0.4005522,0.047695123,0.00019518018,0.0185
38,0.5043376,0.40052187,0.047692697,0.00020248338,0.019
39,0.5043621,0.40049157,0.047690272,0.0002097867,0.0195
40,0.5043866,0.40046123,0.047687847,0.00021709001,0.02
41,0.5044111,0.4004309,0.047685422,0.00022439321,0.0205
42,0.50443554,0.40040058,0.047682993,0.00023169664,0.021
43,0.50446004,0.40037024,0.047680568,0.00023900002,0.0215
44,0.50448453,0.4003399,0.047678143,0.00024630327,0.022
45,0.50450903,0.40030956,0.047675718,0.0002536066,0.0225
46,0.5045335,0.40027922,0.047673292,0.00026090984,0.023
