,weight,bias
UTS_Al_1,-1226.82,619.66
UTS_Al_2,7.97,-1.27
UTS_Si,595.94,-28.37
UTS_AlSi2Sr,-1505.57,1.33
YS_Al_1,-790.38,399.47
YS_Al_2,5.71,-0.91
YS_Si,584.89,-27.84
YS_AlSi2Sr,-1566.15,1.39
EL_Al_1,467.38,-235.77
EL_Al_2,-0.60,0.10
EL_Si,-1046.98,49.84
EL_AlSi2Sr,-111.05,0.10
