,weight,bias
UTS_Al_1,-61.72,37.62
UTS_Al_2,1.09,0.94
UTS_Si,1.07,0.53
UTS_AlSi2Sr,-1.09,0.46
YS_Al_1,-39.76,24.49
YS_Al_2,0.78,0.67
YS_Si,1.05,0.52
YS_AlSi2Sr,-1.13,0.47
EL_Al_1,23.51,-14.03
EL_Al_2,-0.08,-0.07
EL_Si,-1.88,-0.93
EL_AlSi2Sr,-0.08,0.03
