,weight,bias
UTS_Al,-0.18,0.26
UTS_Si,2.88,1.45
UTS_AlSi2Sr,-1.73,0.22
YS_Al,-0.37,-0.03
YS_Si,2.88,1.24
YS_AlSi2Sr,-1.71,-0.02
EL_Al,-2.28,-0.81
EL_Si,-3.15,-1.11
EL_AlSi2Sr,1.47,-0.03
