,weight,bias
UTS_Al_1,-2.66,1.08
UTS_Al_2+Si,2.24,-1.20
UTS_AlSc2Si2,102.00,-1.05
YS_Al_1,-0.16,0.06
YS_Al_2+Si,-0.41,0.22
YS_AlSc2Si2,-33.82,0.35
EL_Al_1,3.41,-1.39
EL_Al_2+Si,-3.16,1.69
EL_AlSc2Si2,-152.34,1.56
