,weight,bias
UTS_Al_1,-37.70,240.70
UTS_Al_2+Si,31.68,208.48
UTS_AlSc2Si2,1443.67,210.60
YS_Al_1,-2.03,125.47
YS_Al_2+Si,-5.29,127.47
YS_AlSc2Si2,-432.01,129.07
EL_Al_1,7.31,3.48
EL_Al_2+Si,-6.78,10.07
EL_AlSc2Si2,-326.35,9.80
