,weight,bias
UTS_Al,-0.17,0.08
UTS_Eut,0.50,0.19
UTS_AlSc2Si2,1.09,0.12
YS_Al,-0.31,0.15
YS_Eut,0.65,0.26
YS_AlSc2Si2,1.17,0.13
EL_Al,1.30,-0.63
EL_Eut,-1.21,-0.47
EL_AlSc2Si2,-0.35,-0.04
