,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
98,0.5056786,0.15190211,0.047573246,0.0006490946,0.049
99,0.5057011,0.14910103,0.047569863,0.0006567091,0.0495
100,0.50572366,0.1463,0.04756651,0.00066433847,0.05
101,0.50574607,0.14349891,0.047563143,0.00067192316,0.0505
102,0.5057686,0.14069787,0.047559775,0.00067953765,0.051
103,0.5057911,0.13789679,0.047556408,0.00068710744,0.0515
104,0.50581366,0.13509572,0.047553055,0.00069472194,0.052
105,0.5058362,0.13229468,0.047549672,0.00070233643,0.0525
106,0.5058586,0.1294936,0.047546305,0.000709936,0.053
107,0.50588113,0.12669255,0.047542937,0.0007175654,0.0535
108,0.50590366,0.12389146,0.04753957,0.0007251352,0.054
109,0.50592613,0.12109043,0.0475362,0.0007327646,0.0545
110,0.50594866,0.11828932,0.047532834,0.0007403493,0.055
111,0.50597125,0.11548829,0.047529466,0.0007479787,0.0555
112,0.50599366,0.11268723,0.0475261,0.0007555932,0.056
113,0.5060162,0.109886125,0.04752273,0.00076313317,0.0565
114,0.5060387,0.10708512,0.047519363,0.00077079237,0.057
115,0.50606114,0.104284,0.047515996,0.00077837706,0.0575
116,0.50608367,0.10148299,0.04751263,0.00078599155,0.058
117,0.5061062,0.09868193,0.04750926,0.00079362094,0.0585
118,0.5061287,0.09588085,0.047505893,0.00080119073,0.059
119,0.50615126,0.09307979,0.04750254,0.0008088201,0.0595
120,0.50617373,0.0902787,0.047499172,0.0008164048,0.06
121,0.5061963,0.087477654,0.04749582,0.0008239895,0.0605
122,0.50621873,0.08467655,0.047492422,0.0008316338,0.061
123,0.50624126,0.08187552,0.047489055,0.0008392334,0.0615
124,0.5062638,0.07907447,0.0474857,0.0008468181,0.062
125,0.50628626,0.07627341,0.047482334,0.0008544177,0.0625
126,0.5063088,0.07347232,0.047478966,0.0008620471,0.063
127,0.50633126,0.070671245,0.0474756,0.00086961687,0.0635
128,0.5063538,0.067870215,0.04747223,0.00087726116,0.064
129,0.5063763,0.0650692,0.04746888,0.00088484585,0.0645
130,0.50639886,0.06226808,0.04746551,0.00089246035,0.065
131,0.50642127,0.059467047,0.047462113,0.00090007484,0.0655
132,0.5064438,0.056665972,0.047458775,0.00090764463,0.066
133,0.5064663,0.053864896,0.047455393,0.0009153038,0.0665
134,0.50648886,0.05106382,0.047452025,0.0009228438,0.067
135,0.50651133,0.048262745,0.047448672,0.0009304732,0.0675
136,0.5065339,0.0454617,0.04744529,0.0009381026,0.068
137,0.50655633,0.042660654,0.047441937,0.0009456873,0.0685
138,0.50657886,0.039859623,0.04743857,0.0009533018,0.069
139,0.5066014,0.037058532,0.0474352,0.0009609014,0.0695
140,0.50662386,0.034257457,0.047431834,0.00096848607,0.07
141,0.5066464,0.031456396,0.047428466,0.00097613037,0.0705
142,0.50666887,0.028655306,0.047425084,0.000983715,0.071
143,0.5066914,0.02585426,0.04742173,0.0009913296,0.0715
144,0.5067139,0.023053229,0.047418363,0.0009989291,0.072
145,0.50673646,0.020252153,0.047414996,0.0010065287,0.0725
146,0.50675887,0.017451063,0.047411628,0.0010140985,0.073
147,0.5067814,0.014650017,0.04740826,0.0010217577,0.0735
148,0.50680393,0.011848956,0.047404893,0.0010293573,0.074
149,0.50682646,0.009047866,0.047401525,0.001036942,0.0745
150,0.506849,0.006246835,0.047398172,0.0010445863,0.075
151,0.5058778,0.0062941313,0.04739625,0.0010522604,0.0755
