,weight,bias
UTS_Al_1,-2.71,1.76
UTS_Al_2,0.66,0.36
UTS_Si,0.02,0.01
UTS_AlSi2Sr,-0.35,0.13
YS_Al_1,1.82,-1.29
YS_Al_2,-0.65,-0.36
YS_Si,-0.38,-0.17
YS_AlSi2Sr,0.68,-0.25
EL_Al_1,13.03,-6.91
EL_Al_2,0.02,0.01
EL_Si,-1.66,-0.73
EL_AlSi2Sr,-0.08,0.03
