,weight,bias
UTS_Al_1,-56.08,28.59
UTS_Al_2,4.30,-0.69
UTS_Si,14.09,-0.67
UTS_AlSi2Sr,-507.18,0.45
YS_Al_1,37.74,-19.35
YS_Al_2,-4.21,0.67
YS_Si,-220.03,10.47
YS_AlSi2Sr,985.69,-0.88
EL_Al_1,269.97,-136.09
EL_Al_2,0.13,-0.02
EL_Si,-968.24,46.09
EL_AlSi2Sr,-117.03,0.10
