,weight,bias
UTS_Al_1,-336.04,368.81
UTS_Al_2,25.75,193.37
UTS_Si,84.42,193.47
UTS_AlSi2Sr,-3039.22,200.19
YS_Al_1,252.88,-42.02
YS_Al_2,-28.22,92.13
YS_Si,-1474.28,157.80
YS_AlSi2Sr,6604.57,81.75
EL_Al_1,245.73,-110.74
EL_Al_2,0.12,13.11
EL_Si,-881.30,55.08
EL_AlSi2Sr,-106.52,13.22
