,weight,bias
UTS_Al_1,-2.03,0.82
UTS_Al_2+Si,1.54,-0.83
UTS_AlSc2Si2,65.10,-0.68
YS_Al_1,-0.02,0.01
YS_Al_2+Si,-0.57,0.31
YS_AlSc2Si2,-42.37,0.44
EL_Al_1,3.33,-1.35
EL_Al_2+Si,-3.03,1.64
EL_AlSc2Si2,-142.67,1.50
