,weight,bias
UTS_Al_1,-2.59,1.05
UTS_Al_2+Si,2.15,-1.15
UTS_AlSc2Si2,97.47,-1.00
YS_Al_1,-0.16,0.06
YS_Al_2+Si,-0.42,0.23
YS_AlSc2Si2,-34.12,0.35
EL_Al_1,3.53,-1.43
EL_Al_2+Si,-3.34,1.79
EL_AlSc2Si2,-162.30,1.66
