,weight,bias
UTS_Al_1,-39.63,241.69
UTS_Al_2+Si,32.82,208.07
UTS_AlSc2Si2,1489.22,210.33
YS_Al_1,-2.00,125.53
YS_Al_2+Si,-5.42,127.61
YS_AlSc2Si2,-439.22,129.22
EL_Al_1,6.85,3.82
EL_Al_2+Si,-6.49,10.06
EL_AlSc2Si2,-315.14,9.83
