,weight,bias
UTS_Al_1,-0.52,0.07
UTS_Al_2+Si,0.43,0.04
UTS_AlSc2Si2,0.39,0.03
YS_Al_1,-0.03,0.00
YS_Al_2+Si,-0.08,-0.01
YS_AlSc2Si2,-0.14,-0.01
EL_Al_1,0.71,-0.10
EL_Al_2+Si,-0.67,-0.07
EL_AlSc2Si2,-0.65,-0.06
