,weight,bias
UTS_Al_1,-67.86,251.64
UTS_Al_2+Si,57.80,192.85
UTS_AlSc2Si2,2628.88,196.60
YS_Al_1,-2.73,122.49
YS_Al_2+Si,-5.07,124.13
YS_AlSc2Si2,-442.91,126.02
EL_Al_1,5.11,4.83
EL_Al_2+Si,-4.58,9.38
EL_AlSc2Si2,-215.19,9.15
