,weight,bias
UTS_Al_1,-41.13,235.24
UTS_Al_2,36.17,201.17
UTS_Si,296.44,200.77
UTS_AlSc2Si2,1392.37,203.99
YS_Al_1,-4.34,123.59
YS_Al_2,-3.82,123.67
YS_Si,-25.97,123.39
YS_AlSc2Si2,-353.26,125.53
EL_Al_1,7.72,3.71
EL_Al_2,-8.08,10.72
EL_Si,-65.37,10.76
EL_AlSc2Si2,-343.28,10.43
