,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.5033753,0.4009389,0.052722722,5.1110983e-06,0.0
1,0.5034027,0.40090445,0.05219464,3.8594007e-06,0.0005
2,0.5034301,0.40087003,0.051666558,2.6077032e-06,0.001
3,0.50345755,0.40083557,0.05113846,1.3709068e-06,0.0015
4,0.50348496,0.40080115,0.05061038,8.940697e-08,0.002
5,0.5035124,0.40076673,0.050082296,-1.1771917e-06,0.0025
6,0.5035397,0.40073228,0.04955423,-2.4288893e-06,0.003
7,0.5035671,0.40069783,0.049026147,-3.695488e-06,0.0035
8,0.5035945,0.4006634,0.048498064,-4.917383e-06,0.004
9,0.50362194,0.40062898,0.047969967,-6.1690807e-06,0.0045
10,0.5036484,0.39873806,0.047794178,-1.4454126e-06,0.005
11,0.50367415,0.39593548,0.04779136,6.198883e-06,0.0055
12,0.5037,0.39313287,0.047788545,1.3872981e-05,0.006
13,0.5037259,0.39033028,0.04778573,2.156198e-05,0.0065
14,0.50375175,0.3875277,0.047782913,2.9206276e-05,0.007
15,0.5037776,0.3847251,0.04778008,3.6865473e-05,0.0075
16,0.5038035,0.3819225,0.04777728,4.452467e-05,0.008
17,0.50382936,0.37911996,0.04777448,5.2198768e-05,0.0085
18,0.5038552,0.37631738,0.047771648,5.9843063e-05,0.009
19,0.503881,0.37351477,0.04776883,6.750226e-05,0.0095
20,0.50390685,0.3707122,0.047766,7.516146e-05,0.01
21,0.5039327,0.36790958,0.04776317,8.279085e-05,0.0105
22,0.5039587,0.36510703,0.047760367,9.046495e-05,0.011
23,0.5039846,0.36230445,0.047757566,9.8109245e-05,0.0115
24,0.5040103,0.35950184,0.04775475,0.00010576844,0.012
25,0.5040362,0.35669926,0.04775192,0.00011342764,0.0125
26,0.50406206,0.35389668,0.047749102,0.000121086836,0.013
27,0.5040879,0.3510941,0.047746286,0.00012876093,0.0135
28,0.5041138,0.34829152,0.047743484,0.00013643503,0.014
29,0.50413966,0.34548894,0.047740668,0.00014406443,0.0145
30,0.5041654,0.34268636,0.04773785,0.00015172362,0.015
31,0.5041913,0.33988374,0.04773502,0.00015936792,0.0155
32,0.50421715,0.33708116,0.04773222,0.00016707182,0.016
33,0.504243,0.33427858,0.047729388,0.00017471611,0.0165
34,0.5042689,0.331476,0.047726586,0.00018236041,0.017
35,0.50429475,0.32867342,0.047723755,0.00019001961,0.0175
36,0.5043206,0.32587084,0.04772094,0.0001977086,0.018
37,0.5043465,0.32306826,0.047718138,0.0002053678,0.0185
38,0.50437236,0.32026565,0.047715306,0.0002129823,0.019
39,0.5043982,0.31746304,0.04771249,0.0002206713,0.0195
40,0.504424,0.3146605,0.04770966,0.00022831559,0.02
41,0.50444996,0.31185794,0.047706857,0.00023600459,0.0205
42,0.5044757,0.30905533,0.047704056,0.00024364889,0.021
43,0.5045016,0.30625272,0.047701225,0.00025130808,0.0215
44,0.50452745,0.30345014,0.04769841,0.00025895238,0.022
45,0.5045533,0.30064756,0.047695577,0.00026661158,0.0225
46,0.5045792,0.29784498,0.04769276,0.00027431548,0.023
47,0.50460505,0.2950424,0.04768996,0.00028194487,0.0235
48,0.5046309,0.29223981,0.047687158,0.00028960407,0.024
49,0.5046568,0.28943723,0.047684327,0.00029726326,0.0245
50,0.50468254,0.28663462,0.04768151,0.00030492246,0.025
51,0.5047084,0.28383207,0.047678694,0.00031259656,0.0255
52,0.5047343,0.28102946,0.047675863,0.00032025576,0.026
53,0.50476015,0.27822688,0.04767306,0.00032790005,0.0265
54,0.504786,0.2754243,0.047670245,0.00033555925,0.027
55,0.5048119,0.27262172,0.04766743,0.00034323335,0.0275
56,0.50483775,0.26981914,0.047664598,0.00035086274,0.028
57,0.5048636,0.26701653,0.04766178,0.00035853684,0.0285
58,0.5048895,0.26421398,0.047658965,0.00036618114,0.029
59,0.50491524,0.26141134,0.047656164,0.00037384033,0.0295
60,0.5049412,0.25860882,0.047653347,0.00038149953,0.03
61,0.5049671,0.2558062,0.04765053,0.00038917363,0.0305
62,0.50499284,0.2530036,0.0476477,0.00039681792,0.031
63,0.5050187,0.25020105,0.0476449,0.00040447712,0.0315
64,0.5050446,0.2473984,0.047642067,0.00041213632,0.032
65,0.50507045,0.24459589,0.047639266,0.0004198104,0.0325
66,0.5050963,0.24179327,0.04763645,0.0004274547,0.033
67,0.5051222,0.23899066,0.047633618,0.0004351139,0.0335
68,0.50514805,0.23618808,0.047630817,0.0004427731,0.034
69,0.5051738,0.2333855,0.047627985,0.0004504621,0.0345
70,0.5051998,0.23058295,0.04762517,0.0004581511,0.035
71,0.50522566,0.22778034,0.047622353,0.0004657954,0.0355
72,0.5052514,0.22497779,0.047619537,0.0004734099,0.036
73,0.5052773,0.22217518,0.04761672,0.0004810691,0.0365
74,0.50530314,0.21937263,0.04761392,0.0004887581,0.037
75,0.505329,0.21656999,0.047611102,0.0004964024,0.0375
76,0.5053549,0.21376741,0.04760827,0.0005040765,0.038
77,0.50538075,0.21096486,0.04760547,0.0005117059,0.0385
78,0.5054066,0.20816225,0.04760264,0.0005193651,0.039
79,0.5054325,0.2053597,0.047599837,0.0005270541,0.0395
80,0.50545835,0.20255709,0.047597006,0.00053471327,0.04
81,0.5054841,0.1997545,0.04759419,0.00054237247,0.0405
82,0.50551,0.19695187,0.04759136,0.00055001676,0.041
83,0.50553584,0.19414933,0.047588557,0.00055766106,0.0415
84,0.5055617,0.19134675,0.04758574,0.00056535006,0.042
85,0.5055876,0.18854415,0.04758294,0.00057300925,0.0425
86,0.50561345,0.18574157,0.047580108,0.00058063865,0.043
87,0.5056393,0.182939,0.047577277,0.00058832765,0.0435
88,0.5056652,0.1801364,0.04757446,0.00059595704,0.044
89,0.50569105,0.17733382,0.047571644,0.00060364604,0.0445
90,0.5057169,0.17453125,0.047568858,0.00061127543,0.045
91,0.5057428,0.17172864,0.047566026,0.00061891973,0.0455
92,0.50576854,0.16892605,0.04756321,0.0006265789,0.046
93,0.5057945,0.16612348,0.047560394,0.000634253,0.0465
94,0.5058203,0.1633209,0.047557577,0.0006419271,0.047
95,0.50584614,0.16051829,0.04755476,0.0006495565,0.0475
96,0.505872,0.15771572,0.047551945,0.0006572306,0.048
97,0.5058979,0.15491313,0.047549114,0.00066486,0.0485
98,0.50592375,0.15211056,0.047546312,0.0006725639,0.049
99,0.5059496,0.14930797,0.047543496,0.000680238,0.0495
100,0.5059755,0.14650539,0.04754068,0.0006878972,0.05
101,0.50600135,0.14370279,0.04753785,0.0006955564,0.0505
102,0.5060271,0.1409002,0.047535047,0.0007032007,0.051
103,0.506053,0.13809766,0.04753223,0.0007108897,0.0515
104,0.50607884,0.13529503,0.047529414,0.000718534,0.052
105,0.5061047,0.13249247,0.047526583,0.0007261932,0.0525
106,0.5061306,0.12968984,0.04752378,0.0007338226,0.053
107,0.50615644,0.12688728,0.04752095,0.0007414818,0.0535
108,0.5061823,0.12408471,0.04751815,0.000749141,0.054
109,0.5062082,0.1212821,0.047515333,0.0007568151,0.0545
110,0.50623405,0.11847955,0.0475125,0.0007644594,0.055
111,0.5062599,0.11567694,0.047509685,0.00077211857,0.0555
112,0.5062858,0.112874374,0.04750687,0.00077980757,0.056
113,0.50631154,0.11007181,0.047504053,0.00078746676,0.0565
114,0.5063374,0.10726918,0.047501236,0.00079509616,0.057
115,0.5063633,0.1044666,0.04749842,0.00080275536,0.0575
116,0.50638914,0.10166404,0.04749562,0.00081041455,0.058
117,0.506415,0.098861456,0.047492787,0.00081810355,0.0585
118,0.5064409,0.096058846,0.04748997,0.00082576275,0.059
119,0.50646675,0.09325625,0.047487155,0.00083340704,0.0595
120,0.5064926,0.090453684,0.04748434,0.00084105134,0.06
121,0.5065185,0.08765109,0.047481522,0.00084871054,0.0605
122,0.50654435,0.08484851,0.04747872,0.00085639954,0.061
123,0.5065701,0.08204591,0.04747589,0.00086405873,0.0615
124,0.50659597,0.07924335,0.047473088,0.0008716881,0.062
125,0.50662184,0.07644075,0.047470257,0.0008793175,0.0625
