,weight,bias
UTS_Al_1,-6.92,5.19
UTS_Al_2,0.66,0.47
UTS_Si,0.74,0.39
UTS_AlSi2Sr,-1.15,0.31
YS_Al_1,-15.51,10.22
YS_Al_2,-0.32,-0.23
YS_Si,0.26,0.13
YS_AlSi2Sr,0.03,-0.01
EL_Al_1,14.90,-9.76
EL_Al_2,-0.54,-0.38
EL_Si,-2.21,-1.15
EL_AlSi2Sr,0.23,-0.06
