,weight,bias
UTS_Al_1,-593.40,512.15
UTS_Al_2,21.82,206.54
UTS_Si,1758.05,126.29
UTS_AlSi2Sr,-7045.76,216.21
YS_Al_1,-607.90,400.91
YS_Al_2,-4.84,95.10
YS_Si,276.69,81.15
YS_AlSi2Sr,83.00,94.25
EL_Al_1,209.01,-91.44
EL_Al_2,-2.91,14.39
EL_Si,-857.02,54.74
EL_AlSi2Sr,226.12,13.73
