,weight,bias
UTS_Al_1,-0.53,-0.09
UTS_Al_2,0.50,-0.08
UTS_Si,0.50,-0.08
UTS_AlSc2Si2,0.48,-0.08
YS_Al_1,-0.01,-0.00
YS_Al_2,-0.11,0.02
YS_Si,-0.10,0.02
YS_AlSc2Si2,-0.17,0.03
EL_Al_1,0.48,0.08
EL_Al_2,-0.47,0.08
EL_Si,-0.47,0.08
EL_AlSc2Si2,-0.46,0.07
