,weight,bias
UTS_Al_1,-8.70,221.67
UTS_Al_2,6.85,221.10
UTS_Si,6.96,221.13
UTS_AlSc2Si2,6.00,220.90
YS_Al_1,-0.70,121.64
YS_Al_2,-0.99,121.50
YS_Si,-0.88,121.50
YS_AlSc2Si2,-1.78,121.49
EL_Al_1,1.53,6.71
EL_Al_2,-1.41,6.79
EL_Si,-1.41,6.79
EL_AlSc2Si2,-1.34,6.83
