,weight,bias
UTS_Al_1,-2.29,0.93
UTS_Al_2,2.04,-0.98
UTS_Si,16.68,-1.00
UTS_AlSc2Si2,79.11,-0.83
YS_Al_1,-0.24,0.10
YS_Al_2,-0.39,0.19
YS_Si,-2.79,0.17
YS_AlSc2Si2,-31.27,0.33
EL_Al_1,3.46,-1.40
EL_Al_2,-3.59,1.73
EL_Si,-29.09,1.75
EL_AlSc2Si2,-151.89,1.59
